Name,Age,Overall,Nationality,Club,Value,Wage,Preferred Foot,Jersey Number,Position
E. Bailly,24,81,Ivory Coast,Manchester United,€21M,€105K,Right,2.0,CB
Dani Ceballos,21,81,Spain,Real Madrid,€25M,€120K,Right,21.0,LCM
H. Lozano,22,81,Mexico,PSV,€24M,€22K,Right,22.0,LS
Morales,30,81,Spain,Levante UD,€17M,€33K,Right,11.0,LS
J. Seri,26,81,Ivory Coast,Fulham,€20.5M,€73K,Right,24.0,LDM
M. Politano,24,81,Italy,Inter,€22.5M,€57K,Left,16.0,RM
M. Brozović,25,81,Croatia,Inter,€18.5M,€64K,Right,77.0,LDM
Williams,24,81,Spain,Athletic Club de Bilbao,€24.5M,€31K,Right,9.0,LW
A. Correa,23,81,Argentina,Atlético Madrid,€24.5M,€54K,Right,11.0,RM
A. Christensen,22,81,Denmark,Chelsea,€21.5M,€91K,Right,6.0,LCB
João Mário,25,81,Portugal,Inter,€22.5M,€71K,Right,10.0,CAM
T. Strakosha,23,81,Albania,Lazio,€17M,€36K,Right,1.0,GK
E. Hysaj,24,81,Albania,Napoli,€20M,€58K,Right,23.0,RB
P. Zieliński,24,81,Poland,Napoli,€24.5M,€64K,Right,20.0,RCM
Ricardo Pereira,24,81,Portugal,Leicester City,€19M,€64K,Right,14.0,RB
Grimaldo,22,81,Spain,SL Benfica,€20.5M,€14K,Left,3.0,LB
R. Guerreiro,24,81,Portugal,Borussia Dortmund,€24M,€54K,Left,13.0,LM
A. Doucouré,25,81,France,Watford,€19.5M,€60K,Right,16.0,RDM
J. Martínez,25,81,Venezuela,Atlanta United,€22.5M,€14K,Right,17.0,LS
C. Bacca,31,81,Colombia,Villarreal CF,€16M,€45K,Right,7.0,LS
A. Plea,25,81,France,Borussia Mönchengladbach,€22M,€40K,Right,14.0,LW
B. Davies,25,81,Wales,Tottenham Hotspur,€18.5M,€87K,Left,4.0,LB
M. Nastasić,25,81,Serbia,FC Schalke 04,€18.5M,€36K,Left,5.0,LCB
A. Milik,24,81,Poland,Napoli,€25.5M,€71K,Left,7.0,CF
M. Sabitzer,24,81,Austria,RB Leipzig,€22.5M,€54K,Right,9.0,LM
B. Mendy,23,81,France,Manchester City,€20M,€105K,Left,22.0,LB
C. Kramer,27,81,Germany,Borussia Mönchengladbach,€17M,€35K,Right,6.0,CDM
S. Vrsaljko,26,81,Croatia,Inter,€18M,€57K,Right,2.0,RB
T. Hazard,25,81,Belgium,Borussia Mönchengladbach,€21.5M,€40K,Right,16.0,RW
K. Bellarabi,28,81,Germany,Bayer 04 Leverkusen,€18M,€76K,Right,38.0,RM
S. Zaza,27,81,Italy,Torino,€21M,€48K,Left,11.0,RS
F. Ghoulam,27,81,Algeria,Napoli,€16.5M,€68K,Left,31.0,LB
B. Lecomte,27,81,France,Montpellier HSC,€15M,€27K,Left,40.0,GK
J. Iličić,30,81,Slovenia,Atalanta,€17M,€41K,Left,7.0,CAM
K. Volland,25,81,Germany,Bayer 04 Leverkusen,€22M,€76K,Left,31.0,ST
Paco Alcácer,24,81,Spain,Borussia Dortmund,€23.5M,€59K,Right,9.0,ST
Vitolo,28,81,Spain,Atlético Madrid,€18M,€65K,Right,23.0,LM
G. Xhaka,25,81,Switzerland,Arsenal,€22M,€115K,Left,10.0,LDM
D. Tadić,29,81,Serbia,Ajax,€17.5M,€26K,Left,10.0,LAM
C. Aránguiz,29,81,Chile,Bayer 04 Leverkusen,€17M,€76K,Right,20.0,LDM
S. Verdi,25,81,Italy,Napoli,€19.5M,€77K,Left,9.0,RW
D. Lovren,28,81,Croatia,Liverpool,€16M,€115K,Right,6.0,RCB
G. Medel,30,81,Chile,Beşiktaş JK,€13M,€56K,Right,17.0,RCB
X. Shaqiri,26,81,Switzerland,Liverpool,€19M,€130K,Left,23.0,CAM
J. Corona,25,81,Mexico,FC Porto,€21.5M,€18K,Right,17.0,RM
A. Areola,25,81,France,Paris Saint-Germain,€16.5M,€61K,Right,23.0,GK
K. Vogt,26,81,Germany,TSG 1899 Hoffenheim,€17.5M,€42K,Right,22.0,CB
Ander Herrera,28,81,Spain,Manchester United,€17.5M,€140K,Right,21.0,CM
E. Salvio,27,81,Argentina,SL Benfica,€18.5M,€19K,Right,18.0,RW
S. El Shaarawy,25,81,Italy,Roma,€21M,€77K,Right,92.0,LM
C. Smalling,28,81,England,Manchester United,€16M,€130K,Right,12.0,RCB
Hulk,31,81,Brazil,Shanghai SIPG FC,€15.5M,€25K,Left,10.0,RCM
S. Kagawa,29,81,Japan,Borussia Dortmund,€17.5M,€65K,Right,23.0,CAM
M. Lanzini,25,81,Argentina,West Ham United,€23M,€90K,Right,10.0,CAM
F. Smolov,28,81,Russia,Lokomotiv Moscow,€18.5M,€1K,Right,11.0,ST
L. Stindl,29,81,Germany,Borussia Mönchengladbach,€18M,€43K,Right,13.0,CF
O. Toprak,28,81,Turkey,Borussia Dortmund,€16M,€59K,Right,36.0,CB
D. Perotti,29,81,Argentina,Roma,€17.5M,€84K,Right,8.0,LW
F. Muslera,32,81,Uruguay,Galatasaray SK,€10M,€52K,Right,1.0,GK
B. Höwedes,30,81,Germany,Lokomotiv Moscow,€13M,€1K,Right,5.0,RCB
S. Kjær,29,81,Denmark,Sevilla FC,€14M,€23K,Right,4.0,RCB
S. Bender,29,81,Germany,Bayer 04 Leverkusen,€14M,€69K,Right,5.0,LCB
M. Valbuena,33,81,France,Fenerbahçe SK,€11M,€86K,Right,28.0,LM
Pedro León,31,81,Spain,SD Eibar,€15.5M,€32K,Right,21.0,RM
K. Boateng,31,81,Ghana,Sassuolo,€15M,€65K,Right,27.0,CM
L. Piszczek,33,81,Poland,Borussia Dortmund,€7M,€57K,Right,26.0,RB
A. Candreva,31,81,Italy,Inter,€15.5M,€74K,Right,87.0,RM
D. Wass,29,81,Denmark,Valencia CF,€17M,€46K,Right,18.0,RB
E. Lamela,26,81,Argentina,Tottenham Hotspur,€21M,€105K,Left,22.0,RM
D. Rose,27,81,England,Tottenham Hotspur,€14.5M,€92K,Left,3.0,LB
C. Vela,29,81,Mexico,Los Angeles FC,€17.5M,€15K,Left,10.0,RW
Renato Augusto,30,81,Brazil,Beijing Sinobo Guoan FC,€16.5M,€28K,Right,5.0,LCM
A. Valencia,32,81,Ecuador,Manchester United,€10M,€120K,Right,16.0,RM
L. Fabiański,33,81,Poland,West Ham United,€9M,€70K,Right,22.0,GK
João Moutinho,31,81,Portugal,Wolverhampton Wanderers,€15M,€85K,Right,28.0,RCM
Borja Valero,33,81,Spain,Inter,€11M,€74K,Right,20.0,CAM
F. Quagliarella,35,81,Italy,Sampdoria,€8M,€39K,Right,27.0,RS
B. Gomis,32,81,France,Al Hilal,€14M,€56K,Right,18.0,ST
Manuel Fernandes,32,81,Portugal,Lokomotiv Moscow,€14M,€1K,Right,4.0,LM
H. Herrera,28,81,Mexico,FC Porto,€17.5M,€20K,Right,16.0,CM
Raffael,33,81,Brazil,Borussia Mönchengladbach,€11M,€41K,Right,11.0,CF
Nani,31,81,Portugal,Sporting CP,€15.5M,€19K,Right,17.0,LM
J. Milner,32,81,England,Liverpool,€13.5M,€120K,Right,7.0,CM
J. Mathieu,34,81,France,Sporting CP,€5.5M,€18K,Left,22.0,LCB
Joaquín,36,81,Spain,Real Betis,€6M,€24K,Right,17.0,LS
M. Gómez,21,80,Uruguay,RC Celta,€20.5M,€25K,Right,18.0,ST
K. Havertz,19,80,Germany,Bayer 04 Leverkusen,€22M,€32K,Left,29.0,CAM
T. Ndombele,21,80,France,Olympique Lyonnais,€22.5M,€51K,Right,17.0,CM
H. Aouar,20,80,France,Olympique Lyonnais,€23.5M,€51K,Right,8.0,LM
Carlos Soler,21,80,Spain,Valencia CF,€21M,€31K,Right,8.0,RM
Odriozola,22,80,Spain,Real Madrid,€18.5M,€115K,Right,19.0,RB
M. Almirón,24,80,Paraguay,Atlanta United,€19.5M,€11K,Left,10.0,CAM
Welington Dano,30,80,Brazil,Cruzeiro,€10.5M,€34K,Left,5.0,LB
Everton Andrão,34,80,Brazil,Fluminense,€4.5M,€34K,Right,6.0,CDM
Oyarzabal,21,80,Spain,Real Sociedad,€21M,€29K,Left,10.0,CAM
F. Balbuena,26,80,Paraguay,West Ham United,€15.5M,€80K,Right,4.0,RCB
M. Marega,27,80,Mali,FC Porto,€16M,€19K,Right,11.0,RS
B. Pavard,22,80,France,VfB Stuttgart,€17.5M,€33K,Right,2.0,RB
W. Ndidi,21,80,Nigeria,Leicester City,€17M,€50K,Right,25.0,LDM
A. Onana,22,80,Cameroon,Ajax,€14.5M,€14K,Right,1.0,GK
G. Lo Celso,22,80,Argentina,Real Betis,€20M,€72K,Left,20.0,RCM
M. Acuña,26,80,Argentina,Sporting CP,€12.5M,€16K,Left,9.0,LB
Rúben Neves,21,80,Portugal,Wolverhampton Wanderers,€20.5M,€59K,Right,5.0,LCM
Mariano,24,80,Dominican Republic,Real Madrid,€20M,€140K,Right,7.0,ST
Raúl,28,80,Brazil,SC Braga,€12M,€19K,Left,34.0,CB
M. Caldara,24,80,Italy,Milan,€17.5M,€73K,Right,33.0,CB
M. Vecino,26,80,Uruguay,Inter,€14.5M,€63K,Right,15.0,LM
T. Bakayoko,23,80,France,Milan,€17M,€85K,Right,14.0,LCM
M. Dahoud,22,80,Germany,Borussia Dortmund,€20M,€50K,Right,19.0,CM
Rafa,25,80,Portugal,SL Benfica,€18.5M,€17K,Right,27.0,RW
K. Baldé,23,80,Senegal,Inter,€20M,€65K,Right,11.0,RM
G. Rulli,26,80,Argentina,Real Sociedad,€14M,€26K,Right,23.0,GK
F. Armani,31,80,Argentina,River Plate,€9M,€22K,Right,1.0,GK
Rony Lopes,22,80,Portugal,AS Monaco,€20M,€65K,Left,7.0,RM
Santi Mina,22,80,Spain,Valencia CF,€20M,€40K,Right,22.0,LS
K. Demirbay,24,80,Germany,TSG 1899 Hoffenheim,€19.5M,€37K,Left,10.0,RCM
Gayà,23,80,Spain,Valencia CF,€16.5M,€33K,Left,3.0,LB
André Gomes,24,80,Portugal,Everton,€19.5M,€130K,Right,8.0,LDM
N. Tagliafico,25,80,Argentina,Ajax,€15M,€20K,Left,3.0,LB
M. Sanson,23,80,France,Olympique de Marseille,€19.5M,€47K,Right,8.0,RDM
Pacheco,26,80,Spain,Deportivo Alavés,€13M,€23K,Left,1.0,GK
E. Can,24,80,Germany,Juventus,€19.5M,€91K,Right,23.0,CM
H. Çalhanoğlu,24,80,Turkey,Milan,€19.5M,€89K,Right,10.0,CAM
M. Ginter,24,80,Germany,Borussia Mönchengladbach,€15.5M,€28K,Right,4.0,RWB
M. Keane,25,80,England,Everton,€15.5M,€88K,Right,4.0,RCB
L. Paredes,24,80,Argentina,,€0,€0,Right,5.0,CM
T. Stepanenko,28,80,Ukraine,Shakhtar Donetsk,€12M,€1K,Left,6.0,RDM
L. Shaw,22,80,England,Manchester United,€16.5M,€96K,Left,23.0,LB
Z. Feddal,28,80,Morocco,Real Betis,€12M,€29K,Left,4.0,CB
S. Haller,24,80,France,Eintracht Frankfurt,€19M,€41K,Right,9.0,RS
Bernard,25,80,Brazil,Everton,€17.5M,€97K,Right,20.0,LM
T. Inui,30,80,Japan,Real Betis,€14M,€30K,Right,8.0,LM
Portu,26,80,Spain,Girona FC,€17.5M,€37K,Right,9.0,RM
M. Batshuayi,24,80,Belgium,Valencia CF,€19.5M,€105K,Right,21.0,ST
E. Zahavi,30,80,Israel,Guangzhou R&F; FC,€14.5M,€24K,Right,7.0,LS
T. Vaclík,29,80,Czech Republic,Sevilla FC,€11.5M,€17K,Right,1.0,GK
N. Pope,26,80,England,Burnley,€13M,€48K,Right,23.0,GK
Héctor Bellerín,23,80,Spain,Arsenal,€16.5M,€85K,Right,2.0,RB
P. Kadeřábek,26,80,Czech Republic,TSG 1899 Hoffenheim,€14M,€39K,Right,2.0,RWB
J. Butland,25,80,England,Stoke City,€14M,€39K,Right,13.0,GK
J. Vestergaard,25,80,Denmark,Southampton,€14.5M,€51K,Right,3.0,CB
J. Tarkowski,25,80,England,Burnley,€15.5M,€56K,Right,5.0,RCB
Deulofeu,24,80,Spain,Watford,€18.5M,€56K,Right,7.0,RS
E. Dier,24,80,England,Tottenham Hotspur,€16.5M,€73K,Right,4.0,CDM
J. Murillo,26,80,Colombia,Valencia CF,€16M,€38K,Right,22.0,LCB
M. Badelj,29,80,Croatia,Lazio,€11.5M,€53K,Right,25.0,CDM
Ismaily,28,80,Brazil,Shakhtar Donetsk,€11.5M,€1K,Left,31.0,LB
N. Schulz,25,80,Germany,TSG 1899 Hoffenheim,€14.5M,€37K,Left,16.0,LWB
L. Digne,24,80,France,Everton,€16M,€79K,Left,12.0,LB
M. Uth,26,80,Germany,FC Schalke 04,€17.5M,€42K,Left,7.0,ST
Cristian Tello,26,80,Spain,Real Betis,€16M,€30K,Right,11.0,LM
D. Vida,29,80,Croatia,Beşiktaş JK,€11.5M,€55K,Right,24.0,LCB
L. Muriel,27,80,Colombia,Sevilla FC,€17.5M,€24K,Right,14.0,ST
V. Aboubakar,26,80,Cameroon,FC Porto,€18M,€19K,Right,9.0,ST
A. Oxlade-Chamberlain,24,80,England,Liverpool,€19.5M,€94K,Right,21.0,CM
S. Aurier,25,80,Ivory Coast,Tottenham Hotspur,€15.5M,€82K,Right,17.0,RB
J. Matip,26,80,Cameroon,Liverpool,€15M,€99K,Right,32.0,CB
Y. Rakitskyi,28,80,Ukraine,Shakhtar Donetsk,€12M,€1K,Left,44.0,LCB
Sergi Enrich,28,80,Spain,SD Eibar,€15.5M,€34K,Right,9.0,RS
A. Yarmolenko,28,80,Ukraine,West Ham United,€15M,€92K,Left,20.0,RM
Hugo Mallo,27,80,Spain,RC Celta,€13.5M,€27K,Right,2.0,RB
André Almeida,27,80,Portugal,SL Benfica,€12M,€15K,Right,34.0,RB
D. Didavi,28,80,Germany,VfB Stuttgart,€15M,€44K,Left,10.0,CAM
R. Rodríguez,25,80,Switzerland,Milan,€15.5M,€81K,Left,13.0,LB
R. Pereyra,27,80,Argentina,Watford,€15.5M,€65K,Right,7.0,LM
Mario Gaspar,27,80,Spain,Villarreal CF,€12M,€35K,Right,2.0,RB
Maicon,29,80,Brazil,Galatasaray SK,€11.5M,€63K,Right,3.0,CB
D. Blind,28,80,Netherlands,Ajax,€12M,€22K,Left,5.0,LB
J. Zoet,27,80,Netherlands,PSV,€12.5M,€16K,Right,13.0,GK
A. Ljajić,26,80,Serbia,Beşiktaş JK,€17.5M,€52K,Right,22.0,CAM
Canales,27,80,Spain,Real Betis,€15.5M,€30K,Left,6.0,RCM
Iago Falqué,28,80,Spain,Torino,€15M,€59K,Left,14.0,RW
L. de Jong,27,80,Netherlands,PSV,€16M,€23K,Right,19.0,ST
Guaita,31,80,Spain,Crystal Palace,€9M,€48K,Right,31.0,GK
Muniain,25,80,Spain,Athletic Club de Bilbao,€18.5M,€31K,Right,10.0,CAM
Susaeta,30,80,Spain,Athletic Club de Bilbao,€14M,€33K,Right,14.0,RW
S. Rudy,28,80,Germany,FC Schalke 04,€12M,€37K,Right,13.0,CDM
K. Trapp,27,80,Germany,Eintracht Frankfurt,€11.5M,€61K,Right,31.0,GK
V. Wanyama,27,80,Kenya,Tottenham Hotspur,€14.5M,€86K,Right,12.0,CDM
N. Nkoulou,28,80,Cameroon,Torino,€12M,€50K,Right,18.0,CB
R. Boudebouz,28,80,Algeria,Real Betis,€15M,€31K,Left,10.0,CAM
Camacho,28,80,Spain,VfL Wolfsburg,€13.5M,€51K,Right,4.0,CDM
S. Ulreich,29,80,Germany,FC Bayern München,€10M,€61K,Right,26.0,GK
M. Musacchio,27,80,Argentina,Milan,€12.5M,€85K,Right,22.0,RCB
C. Stuani,31,80,Uruguay,Girona FC,€13.5M,€41K,Right,11.0,ST
P. Gulácsi,28,80,Hungary,RB Leipzig,€10.5M,€45K,Right,1.0,GK
Bruno,34,80,Spain,Villarreal CF,€7M,€39K,Left,21.0,CM
F. Delph,28,80,England,Manchester City,€11.5M,€120K,Left,18.0,LB
A. Lallana,30,80,England,Liverpool,€13.5M,€110K,Right,20.0,CM
Marcelo,31,80,Brazil,Olympique Lyonnais,€10M,€64K,Right,6.0,RCB
S. Coleman,29,80,Republic of Ireland,Everton,€11M,€97K,Right,2.0,RWB
Alexandre Pato,28,80,Brazil,Tianjin Quanjian FC,€15.5M,€35K,Right,10.0,ST
Antunes,31,80,Portugal,Getafe CF,€9.5M,€27K,Left,3.0,LB
Nacho Monreal,32,80,Spain,Arsenal,€8M,€99K,Left,18.0,LB
Beñat,31,80,Spain,Athletic Club de Bilbao,€12.5M,€30K,Right,7.0,LCM
A. Fernández,32,80,Argentina,Beijing Renhe FC,€11M,€20K,Right,8.0,LDM
K. Gameiro,31,80,France,Valencia CF,€13.5M,€45K,Right,9.0,ST
I. Piatti,33,80,Argentina,Montreal Impact,€9M,€13K,Right,10.0,LW
V. Birsa,31,80,Slovenia,Chievo Verona,€13M,€23K,Left,10.0,CAM
S. Romero,31,80,Argentina,Manchester United,€9M,€91K,Right,1.0,GK
D. Criscito,31,80,Italy,Genoa,€10M,€21K,Left,4.0,LCB
D. Valeri,32,80,Argentina,Portland Timbers,€11.5M,€12K,Right,8.0,RF
D. Sturridge,28,80,England,Liverpool,€15.5M,€125K,Left,15.0,ST
Raúl García,31,80,Spain,Athletic Club de Bilbao,€13M,€30K,Right,22.0,CAM
S. Defour,30,80,Belgium,Burnley,€13.5M,€65K,Right,16.0,LCM
M. Škrtel,33,80,Slovakia,Fenerbahçe SK,€6M,€68K,Right,37.0,LCB
S. Radu,31,80,Romania,Lazio,€10M,€51K,Left,26.0,LCB
G. Cahill,32,80,England,Chelsea,€8.5M,€99K,Right,24.0,CB
L. Diarra,33,80,France,Paris Saint-Germain,€6M,€75K,Right,19.0,CDM
L. Perrin,32,80,France,AS Saint-Étienne,€8.5M,€37K,Right,24.0,RCB
Dante,34,80,Brazil,OGC Nice,€4.5M,€37K,Left,31.0,CB
A. Granqvist,33,80,Sweden,,€0,€0,Right,4.0,LCB
A. Gignac,32,80,France,Tigres U.A.N.L.,€12M,€70K,Right,10.0,ST
M. Gómez,32,80,Germany,VfB Stuttgart,€12M,€46K,Right,27.0,LS
I. Akinfeev,32,80,Russia,PFC CSKA Moscow,€8.5M,€1K,Right,1.0,GK
I. Denisov,34,80,Russia,Lokomotiv Moscow,€4.5M,€1K,Right,27.0,RDM
Juanfran,33,80,Spain,Atlético Madrid,€5.5M,€53K,Right,20.0,RB
Diego López,36,80,Spain,RCD Espanyol,€2M,€17K,Right,13.0,GK
Santi Cazorla,33,80,Spain,Villarreal CF,€8.5M,€39K,Right,19.0,LCM
Jesús Navas,32,80,Spain,Sevilla FC,€11.5M,€22K,Right,16.0,RM
J. Mascherano,34,80,Argentina,Hebei China Fortune FC,€4.5M,€20K,Right,14.0,LDM
A. Mirante,34,80,Italy,Roma,€6M,€51K,Right,83.0,GK
D. Srna,36,80,Croatia,Cagliari,€1.7M,€27K,Right,33.0,RB
B. Schweinsteiger,33,80,Germany,Chicago Fire,€6M,€11K,Right,31.0,LCB
Moyá,34,80,Spain,Real Sociedad,€6M,€26K,Right,13.0,GK
W. Rooney,32,80,England,DC United,€12M,€13K,Right,9.0,ST
Fernando Torres,34,80,Spain,Sagan Tosu,€8M,€10K,Right,9.0,LS
S. Sorrentino,39,80,Italy,Chievo Verona,€1M,€10K,Right,70.0,GK
V. Tsygankov,20,79,Ukraine,Dynamo Kyiv,€18M,€1K,Left,15.0,RM
Rúben Dias,21,79,Portugal,SL Benfica,€15M,€10K,Right,6.0,RCB
David Neres,21,79,Brazil,Ajax,€18M,€18K,Left,7.0,RW
Raphinha,21,79,Brazil,Sporting CP,€18M,€13K,Left,21.0,RM
A. Harit,21,79,Morocco,FC Schalke 04,€18M,€27K,Right,25.0,LCM
Richarlison,21,79,Brazil,Everton,€18M,€79K,Right,30.0,ST
L. Martínez,20,79,Argentina,Inter,€18M,€54K,Right,18.0,ST
F. Kessié,21,79,Ivory Coast,Milan,€19.5M,€24K,Right,14.0,CM
Luimo Boas Santos,30,79,Brazil,Santos,€12M,€26K,Right,11.0,ST
Gabri Prestão,26,79,Brazil,Internacional,€9M,€24K,Right,12.0,GK
Melvin Parrela,30,79,Brazil,América FC (Minas Gerais),€9.5M,€20K,Right,14.0,LCM
Antônio Chiamuloira,30,79,Brazil,Internacional,€9.5M,€30K,Left,15.0,CB
Maikel Catarino,34,79,Brazil,Atlético Mineiro,€3.6M,€38K,Right,2.0,RB
A. Lunev,26,79,Russia,,€0,€0,Right,12.0,GK
André Silva,22,79,Portugal,Sevilla FC,€19M,€84K,Right,23.0,ST
C. Pulisic,19,79,United States,Borussia Dortmund,€18M,€26K,Right,10.0,RM
M. Dmitrović,26,79,Serbia,SD Eibar,€10M,€21K,Left,1.0,GK
L. Tousart,21,79,France,Olympique Lyonnais,€14.5M,€43K,Right,29.0,RDM
Marcos Llorente,23,79,Spain,Real Madrid,€16M,€110K,Right,18.0,CDM
B. Verbič,24,79,Slovenia,Dynamo Kyiv,€15.5M,€1K,Right,21.0,LM
S. Bergwijn,20,79,Netherlands,PSV,€18M,€17K,Right,22.0,LW
A. Diallo,22,79,France,Borussia Dortmund,€15M,€43K,Left,4.0,LCB
A. Golovin,22,79,Russia,AS Monaco,€17M,€61K,Right,17.0,CAM
M. Campaña,29,79,Uruguay,Independiente,€10M,€21K,Right,25.0,GK
C. Pavón,22,79,Argentina,Boca Juniors,€17.5M,€27K,Right,7.0,RW
K. Toko-Ekambi,25,79,Cameroon,Villarreal CF,€15M,€38K,Right,7.0,LS
Granell,29,79,Spain,Girona FC,€12M,€37K,Left,6.0,LWB
F. Cervi,24,79,Argentina,SL Benfica,€17M,€15K,Left,11.0,LW
J. Weigl,22,79,Germany,Borussia Dortmund,€14.5M,€43K,Right,33.0,CDM
V. Lindelöf,23,79,Sweden,Manchester United,€14.5M,€91K,Right,3.0,CB
A. Rebić,24,79,Croatia,Eintracht Frankfurt,€16M,€39K,Right,4.0,CAM
A. Sanabria,22,79,Paraguay,Real Betis,€17.5M,€27K,Right,11.0,ST
R. Battaglia,26,79,Argentina,Sporting CP,€14.5M,€17K,Right,16.0,CM
M. Philipp,24,79,Germany,Borussia Dortmund,€17M,€53K,Right,20.0,ST
A. Saint-Maximin,21,79,France,OGC Nice,€18M,€31K,Right,7.0,RS
D. Zappacosta,26,79,Italy,Chelsea,€12.5M,€94K,Right,21.0,RB
L. Alario,25,79,Argentina,Bayer 04 Leverkusen,€16M,€67K,Right,13.0,ST
D. Benedetto,28,79,Argentina,Boca Juniors,€13M,€32K,Right,9.0,ST
I. Marcone,28,79,Argentina,Cruz Azul,€11.5M,€31K,Right,23.0,RDM
J. Gbamin,22,79,Ivory Coast,1. FSV Mainz 05,€14.5M,€26K,Right,25.0,RCM
J. Lerma,23,79,Colombia,Bournemouth,€14.5M,€55K,Right,8.0,RCM
Ricardo Horta,23,79,Portugal,SC Braga,€17M,€16K,Right,21.0,LM
R. Zobnin,24,79,Russia,Spartak Moscow,€15M,€1K,Right,8.0,LDM
M. Meyer,22,79,Germany,Crystal Palace,€16M,€53K,Right,7.0,LM
Bruma,23,79,Portugal,RB Leipzig,€16.5M,€48K,Right,18.0,LW
R. Centurión,25,79,Argentina,Racing Club,€15.5M,€25K,Right,10.0,RM
Jonny,24,79,Spain,Wolverhampton Wanderers,€13.5M,€43K,Right,19.0,LWB
Otávio,23,79,Brazil,FC Porto,€17.5M,€15K,Right,25.0,RM
J. Hofmann,25,79,Germany,Borussia Mönchengladbach,€15M,€32K,Right,23.0,CAM
N. Aké,23,79,Netherlands,Bournemouth,€14.5M,€55K,Left,15.0,CB
J. Hector,28,79,Germany,1. FC Köln,€10M,€26K,Left,3.0,LWB
S. Kolašinac,25,79,Bosnia Herzegovina,Arsenal,€13M,€89K,Left,31.0,LB
G. Pizarro,28,79,Argentina,Tigres U.A.N.L.,€10M,€58K,Right,19.0,LDM
Roger,27,79,Spain,Levante UD,€14.5M,€32K,Right,9.0,RS
Sergio Rico,24,79,Spain,Fulham,€11.5M,€13K,Right,25.0,GK
L. Milivojević,27,79,Serbia,Crystal Palace,€12.5M,€56K,Right,4.0,RCM
D. Baselli,26,79,Italy,Torino,€15.5M,€49K,Right,8.0,CDM
K. Rekik,23,79,Netherlands,Hertha BSC,€14M,€26K,Left,4.0,CB
Denis Suárez,24,79,Spain,FC Barcelona,€17.5M,€120K,Right,6.0,CM
W. Orban,25,79,Hungary,RB Leipzig,€13M,€48K,Right,6.0,RCB
Mário Rui,27,79,Portugal,Napoli,€11.5M,€60K,Left,19.0,LB
Iñigo Martínez,27,79,Spain,Athletic Club de Bilbao,€12M,€26K,Left,4.0,LCB
K. Zouma,23,79,France,Everton,€14M,€80K,Right,22.0,CB
Roque Mesa,29,79,Spain,Sevilla FC,€10M,€20K,Right,7.0,CDM
J. Brooks,25,79,United States,VfL Wolfsburg,€14M,€44K,Left,6.0,LCB
L. Karius,25,79,Germany,Beşiktaş JK,€11.5M,€71K,Right,1.0,GK
Zé Luís,27,79,Cape Verde,Spartak Moscow,€14.5M,€1K,Left,9.0,ST
D. Klaassen,25,79,Netherlands,SV Werder Bremen,€15M,€32K,Right,30.0,LCM
M. Elyounoussi,23,79,Norway,Southampton,€17.5M,€48K,Right,13.0,LM
L. Bittencourt,24,79,Germany,TSG 1899 Hoffenheim,€16M,€35K,Right,13.0,LM
Sergi Darder,24,79,Spain,RCD Espanyol,€16M,€29K,Right,10.0,RCM
J. Roussillon,25,79,France,VfL Wolfsburg,€14M,€44K,Left,15.0,LB
D. Demme,26,79,Germany,RB Leipzig,€12M,€50K,Right,31.0,CDM
J. Gouweleeuw,26,79,Netherlands,FC Augsburg,€12M,€28K,Right,6.0,RCB
M. Rojo,28,79,Argentina,Manchester United,€10M,€115K,Left,16.0,CB
J. Veretout,25,79,France,Fiorentina,€16.5M,€59K,Right,17.0,CDM
L. Kurzawa,25,79,France,Paris Saint-Germain,€13M,€68K,Left,20.0,LB
G. Ramírez,27,79,Uruguay,Sampdoria,€13M,€41K,Left,11.0,CAM
David López,28,79,Spain,RCD Espanyol,€10M,€32K,Right,15.0,RCB
C. Tătăruşanu,32,79,Romania,FC Nantes,€7M,€23K,Right,12.0,GK
A. Mandi,26,79,Algeria,Real Betis,€13M,€26K,Right,23.0,RCB
D. Sidibé,25,79,France,AS Monaco,€12M,€61K,Right,19.0,RB
Y. Konoplyanka,28,79,Ukraine,FC Schalke 04,€12.5M,€41K,Right,11.0,LW
S. Berghuis,26,79,Netherlands,Feyenoord,€15M,€20K,Left,19.0,RW
H. Vanaken,25,79,Belgium,Club Brugge KV,€15.5M,€27K,Right,18.0,CAM
Campaña,25,79,Spain,Levante UD,€15.5M,€28K,Right,24.0,CDM
M. van Ginkel,25,79,Netherlands,Chelsea,€14.5M,€98K,Right,26.0,CM
Nolito,31,79,Spain,Sevilla FC,€11M,€21K,Right,8.0,LM
M. Gregoritsch,24,79,Austria,FC Augsburg,€16M,€27K,Left,11.0,CAM
Ibai Gómez,28,79,Spain,Deportivo Alavés,€12.5M,€31K,Right,11.0,RM
Danilo,26,79,Brazil,Manchester City,€12M,€110K,Right,3.0,RB
R. Barkley,24,79,England,Chelsea,€16M,€89K,Right,15.0,CAM
M. Ryan,26,79,Australia,Brighton & Hove Albion,€10.5M,€41K,Right,1.0,GK
Sergio León,29,79,Spain,Real Betis,€12.5M,€32K,Right,7.0,ST
B. Stambouli,27,79,France,FC Schalke 04,€10.5M,€33K,Right,17.0,RCB
J. Guilavogui,27,79,France,VfL Wolfsburg,€12M,€46K,Right,23.0,CDM
Sérgio Oliveira,26,79,Portugal,FC Porto,€15.5M,€17K,Right,27.0,CM
